Year, DayOfYear, WeekOfYear, DateTime, distanceMeters, totalTimeSeconds
2021,282,41,2021-10-09T10:22,5000,11458
2020,57,9,2020-02-26T10:45,4261,1533
2020,41,6,2020-02-10T06:12,6697,2507
2022,158,23,2022-06-07T05:55,6925,2747
2020,233,34,2020-08-20T07:12,1602,590
2018,189,27,2018-07-08T07:34,6463,2398
2022,355,51,2022-12-21T17:02,8067,2975
2020,178,26,2020-06-26T06:38,9719,3544
2021,351,51,2021-12-17T15:50,5860,3132
2020,167,24,2020-06-15T06:56,9717,3385
2022,296,43,2022-10-23T07:38,8843,3371
2020,47,7,2020-02-16T06:33,11306,4290
2020,288,42,2020-10-14T07:05,1603,566
2020,343,49,2020-12-08T15:29,1612,720
2018,155,23,2018-06-04T18:53,6467,2483
2022,236,34,2022-08-24T11:35,3087,1324
2017,359,52,2017-12-25T17:38,5239,2024
2022,74,11,2022-03-15T16:00,8817,3685
2018,326,47,2018-11-22T08:02,5092,1593
2018,241,35,2018-08-29T06:10,6508,2340
2022,279,40,2022-10-06T08:05,8093,2893
2021,220,32,2021-08-08T10:24,1609,635
2020,78,12,2020-03-18T07:32,1610,591
2022,63,9,2022-03-04T07:51,190,101
2022,32,5,2022-02-01T15:02,9666,4484
2018,168,24,2018-06-17T06:10,8085,3172
2018,175,25,2018-06-24T19:45,1800,1448
2020,32,5,2020-02-01T18:29,402,225
2020,206,30,2020-07-24T17:44,6533,2395
2022,133,19,2022-05-13T17:56,8076,3739
2021,361,52,2021-12-27T17:57,7924,3776
2018,56,8,2018-02-25T17:40,9508,3686
2020,73,11,2020-03-13T09:28,6508,2535
2022,339,49,2022-12-05T10:10,8066,2966
2022,11,2,2022-01-11T16:14,8065,3153
2020,100,15,2020-04-09T08:09,6797,2444
2023,29,5,2023-01-29T17:08,4843,2208
2022,331,48,2022-11-27T08:02,3686,3975
2022,195,28,2022-07-14T07:20,7000,2585
2023,57,9,2023-02-26T13:42,3224,1549
2023,27,4,2023-01-27T09:35,4018,1685
2022,121,18,2022-05-01T09:46,5840,2561
2022,334,48,2022-11-30T16:45,8054,3157
2022,118,17,2022-04-28T18:06,10026,4377
2020,238,34,2020-08-25T17:25,1610,765
2018,140,20,2018-05-20T14:26,7000,5527
2018,320,46,2018-11-16T18:12,936,754
2020,95,14,2020-04-04T08:28,6621,2346
2022,258,37,2022-09-15T06:35,8074,3010
2017,290,42,2017-10-17T09:29,4833,2076
2022,8,2,2022-01-08T17:09,8097,2855
2020,213,31,2020-07-31T17:26,1756,646
2020,326,47,2020-11-21T07:42,1612,604
2018,308,44,2018-11-04T05:46,21607,7753
2017,364,52,2017-12-30T18:23,3567,1961
2023,7,1,2023-01-07T16:24,8076,3014
2022,226,33,2022-08-14T12:26,6319,2922
2017,231,33,2017-08-19T19:35,3085,2474
2020,319,46,2020-11-14T07:11,1608,606
2021,243,35,2021-08-31T07:09,4916,1956
2023,4,1,2023-01-04T08:27,5074,1959
2020,174,25,2020-06-22T06:31,9709,3649
2022,332,48,2022-11-28T16:48,4834,1962
2021,68,10,2021-03-09T09:34,1613,564
2022,165,24,2022-06-14T05:56,11455,4380
2018,13,2,2018-01-13T09:54,10000,4974
2022,250,36,2022-09-07T06:28,5000,1993
2022,252,36,2022-09-09T08:02,175,80
2017,270,39,2017-09-27T10:31,3376,1272
2021,106,16,2021-04-16T08:41,7623,3046
2020,130,19,2020-05-09T07:10,6748,2355
2022,289,42,2022-10-16T10:02,5000,1759
2018,264,38,2018-09-21T07:00,6545,2918
2021,32,5,2021-02-01T11:32,1612,607
2020,322,46,2020-11-17T07:07,1613,620
2022,305,44,2022-11-01T07:56,7249,2795
2018,307,44,2018-11-03T05:40,10215,3462
2017,304,44,2017-10-31T18:49,3654,1667
2021,8,2,2021-01-08T10:28,5003,1859
2021,73,11,2021-03-14T08:16,9711,3547
2023,42,6,2023-02-11T16:56,8804,3678
2022,165,24,2022-06-14T05:56,11455,4380
2020,34,5,2020-02-03T17:14,7100,2613
2022,56,8,2022-02-25T08:49,6604,2456
2022,103,15,2022-04-13T17:34,8625,3824
2017,332,48,2017-11-28T08:07,8055,4071
2018,302,44,2018-10-29T18:24,7620,3541
2022,122,18,2022-05-02T06:22,5041,2507
2021,344,50,2021-12-10T16:21,6540,3137
2018,14,2,2018-01-14T17:25,6479,2517
2020,262,38,2020-09-18T07:28,1607,610
2022,80,12,2022-03-21T19:05,3227,1408
2020,47,7,2020-02-16T06:14,1813,676
2022,235,34,2022-08-23T22:39,1772,752
2022,134,20,2022-05-14T16:21,3421,1471
2018,16,3,2018-01-16T20:09,5132,2060
2020,181,26,2020-06-29T06:46,9675,3714
2022,1,1,2022-01-01T17:26,4593,2183
2018,140,20,2018-05-20T13:03,1492,988
